colour	fill	y	x	density	scaled	count	n	showSelectedlegendcolourfill	group	ymin	ymax
#00BFC4	#00BFC4	0.0214451269231841	42.8571428571429	0.0214451269231841	0.384594570933423	31.3956658155416	1464	IN	4	0	0.0214451269231841
#619CFF	#619CFF	0.0163542882057522	42.8571428571429	0.0163542882057522	0.270654050269936	10.6139330455331	649	PH	5	0	0.0163542882057522
#F564E3	#F564E3	0.00462888027885255	42.8571428571429	0.00462888027885255	0.0751909253730818	40.5165890807964	8753	US	6	0	0.00462888027885255
#F8766D	#F8766D	0.00541710640011068	42.9549902152642	0.00541710640011068	0.0883027076840409	5.2762616337078	974	AU	1	0	0.00541710640011068
#B79F00	#B79F00	0.00550398387826537	42.9549902152642	0.00550398387826537	0.087068028689486	5.0856811035172	924	CA	2	0	0.00550398387826537
#00BA38	#00BA38	0.00742100497837902	42.9549902152642	0.00742100497837902	0.11021922941434	11.3615586218983	1531	GB	3	0	0.00742100497837902
#00BFC4	#00BFC4	0.0209997606267521	42.9549902152642	0.0209997606267521	0.376607420272202	30.7436495575651	1464	IN	4	0	0.0209997606267521
#619CFF	#619CFF	0.0157063678832413	42.9549902152642	0.0157063678832413	0.259931342113302	10.1934327562236	649	PH	5	0	0.0157063678832413
#F564E3	#F564E3	0.00438625354706463	42.9549902152642	0.00438625354706463	0.0712497284994606	38.3928772974567	8753	US	6	0	0.00438625354706463
#F8766D	#F8766D	0.00512271517426414	43.0528375733855	0.00512271517426414	0.0835039202058879	4.98952457973327	974	AU	1	0	0.00512271517426414
#B79F00	#B79F00	0.00530684645563064	43.0528375733855	0.00530684645563064	0.0839494936157348	4.90352612500271	924	CA	2	0	0.00530684645563064
#00BA38	#00BA38	0.00711699001968689	43.0528375733855	0.00711699001968689	0.105703898327094	10.8961117201406	1531	GB	3	0	0.00711699001968689
#00BFC4	#00BFC4	0.0205599769326755	43.0528375733855	0.0205599769326755	0.368720387393695	30.099806229437	1464	IN	4	0	0.0205599769326755
#619CFF	#619CFF	0.0150789294326624	43.0528375733855	0.0150789294326624	0.249547597140253	9.78622520179789	649	PH	5	0	0.0150789294326624
#F564E3	#F564E3	0.00415530030749689	43.0528375733855	0.00415530030749689	0.0674981543055144	36.3713435915202	8753	US	6	0	0.00415530030749689
#F8766D	#F8766D	0.00484055907562903	43.1506849315069	0.00484055907562903	0.0789045740496935	4.71470453966268	974	AU	1	0	0.00484055907562903
