fill	x	y	group	xmin	xmax	ymin	ymax
#193652	32	29	-1	31.5	32.5	28.5	29.5
#152F48	33	29	-1	32.5	33.5	28.5	29.5
#153049	34	29	-1	33.5	34.5	28.5	29.5
#153049	35	29	-1	34.5	35.5	28.5	29.5
#142D45	36	29	-1	35.5	36.5	28.5	29.5
#152F48	37	29	-1	36.5	37.5	28.5	29.5
#132B43	23	30	-1	22.5	23.5	29.5	30.5
#142D45	25	30	-1	24.5	25.5	29.5	30.5
#152E47	26	30	-1	25.5	26.5	29.5	30.5
#142D46	27	30	-1	26.5	27.5	29.5	30.5
#17324D	28	30	-1	27.5	28.5	29.5	30.5
#183550	29	30	-1	28.5	29.5	29.5	30.5
#193652	30	30	-1	29.5	30.5	29.5	30.5
#193652	31	30	-1	30.5	31.5	29.5	30.5
#1C3D5B	32	30	-1	31.5	32.5	29.5	30.5
#1A3854	33	30	-1	32.5	33.5	29.5	30.5
#16314B	34	30	-1	33.5	34.5	29.5	30.5
#152E47	35	30	-1	34.5	35.5	29.5	30.5
#142D46	36	30	-1	35.5	36.5	29.5	30.5
#152E47	37	30	-1	36.5	37.5	29.5	30.5
#132C44	38	30	-1	37.5	38.5	29.5	30.5
#132C44	40	30	-1	39.5	40.5	29.5	30.5
#132B43	43	30	-1	42.5	43.5	29.5	30.5
#132B43	21	31	-1	20.5	21.5	30.5	31.5
#132B43	22	31	-1	21.5	22.5	30.5	31.5
#142D45	25	31	-1	24.5	25.5	30.5	31.5
#142D45	26	31	-1	25.5	26.5	30.5	31.5
#142D46	27	31	-1	26.5	27.5	30.5	31.5
#152F48	28	31	-1	27.5	28.5	30.5	31.5
#183551	29	31	-1	28.5	29.5	30.5	31.5
#183551	30	31	-1	29.5	30.5	30.5	31.5
#152F48	31	31	-1	30.5	31.5	30.5	31.5
#16314B	32	31	-1	31.5	32.5	30.5	31.5
#193753	33	31	-1	32.5	33.5	30.5	31.5
#153049	34	31	-1	33.5	34.5	30.5	31.5
#17334E	35	31	-1	34.5	35.5	30.5	31.5
#153049	36	31	-1	35.5	36.5	30.5	31.5
#142D45	37	31	-1	36.5	37.5	30.5	31.5
#132B43	38	31	-1	37.5	38.5	30.5	31.5
#132B43	39	31	-1	38.5	39.5	30.5	31.5
#132B43	41	31	-1	40.5	41.5	30.5	31.5
#132B43	25	32	-1	24.5	25.5	31.5	32.5
#16314B	26	32	-1	25.5	26.5	31.5	32.5
#142D46	27	32	-1	26.5	27.5	31.5	32.5
#152F48	28	32	-1	27.5	28.5	31.5	32.5
#16314B	29	32	-1	28.5	29.5	31.5	32.5
#193753	30	32	-1	29.5	30.5	31.5	32.5
#183550	31	32	-1	30.5	31.5	31.5	32.5
#183551	32	32	-1	31.5	32.5	31.5	32.5
#17344F	33	32	-1	32.5	33.5	31.5	32.5
#17334E	34	32	-1	33.5	34.5	31.5	32.5
#17324D	35	32	-1	34.5	35.5	31.5	32.5
#132C44	36	32	-1	35.5	36.5	31.5	32.5
#152E47	37	32	-1	36.5	37.5	31.5	32.5
#142D45	38	32	-1	37.5	38.5	31.5	32.5
#132C44	39	32	-1	38.5	39.5	31.5	32.5
#132B43	40	32	-1	39.5	40.5	31.5	32.5
#132B43	21	33	-1	20.5	21.5	32.5	33.5
#132B43	23	33	-1	22.5	23.5	32.5	33.5
#132B43	25	33	-1	24.5	25.5	32.5	33.5
#132C44	26	33	-1	25.5	26.5	32.5	33.5
#142D45	27	33	-1	26.5	27.5	32.5	33.5
#152F48	28	33	-1	27.5	28.5	32.5	33.5
#152E47	29	33	-1	28.5	29.5	32.5	33.5
#17324D	30	33	-1	29.5	30.5	32.5	33.5
#17324D	31	33	-1	30.5	31.5	32.5	33.5
#152F48	32	33	-1	31.5	32.5	32.5	33.5
#17334E	33	33	-1	32.5	33.5	32.5	33.5
#1A3854	34	33	-1	33.5	34.5	32.5	33.5
#16314B	35	33	-1	34.5	35.5	32.5	33.5
#142D45	36	33	-1	35.5	36.5	32.5	33.5
#142D46	37	33	-1	36.5	37.5	32.5	33.5
#132C44	38	33	-1	37.5	38.5	32.5	33.5
#132C44	39	33	-1	38.5	39.5	32.5	33.5
#132B43	21	34	-1	20.5	21.5	33.5	34.5
#132B43	24	34	-1	23.5	24.5	33.5	34.5
#132C44	25	34	-1	24.5	25.5	33.5	34.5
#142D45	27	34	-1	26.5	27.5	33.5	34.5
#132C44	28	34	-1	27.5	28.5	33.5	34.5
#16314B	29	34	-1	28.5	29.5	33.5	34.5
#153049	30	34	-1	29.5	30.5	33.5	34.5
#152E47	31	34	-1	30.5	31.5	33.5	34.5
#152E47	32	34	-1	31.5	32.5	33.5	34.5
#16314B	33	34	-1	32.5	33.5	33.5	34.5
#153049	34	34	-1	33.5	34.5	33.5	34.5
#132C44	35	34	-1	34.5	35.5	33.5	34.5
#132C44	36	34	-1	35.5	36.5	33.5	34.5
#142D45	38	34	-1	37.5	38.5	33.5	34.5
#132C44	39	34	-1	38.5	39.5	33.5	34.5
